text_id,emotion
6135,joy
6135,joy
6135,joy
6135,joy
6135,joy
6135,joy
6135,surprise
6135,joy
6135,joy
6135,joy
3605,guilt
3605,fear
3605,fear
3605,fear
3605,fear
3605,boredom
3605,surprise
3605,sadness
3605,boredom
3605,boredom
521,anger
521,anger
521,anger
521,anger
521,guilt
521,fear
521,anger
521,anger
521,guilt
521,anger
429,anger
429,fear
429,anger
429,anger
429,anger
429,anger
429,anger
429,fear
429,fear
429,anger
468,sadness
468,sadness
468,sadness
468,sadness
468,sadness
468,sadness
468,sadness
468,sadness
468,sadness
468,sadness
31154,fear
31154,fear
31154,fear
31154,fear
31154,sadness
31154,fear
31154,anger
31154,fear
31154,fear
31154,sadness
51915,boredom
51915,sadness
51915,boredom
51915,sadness
51915,sadness
51915,sadness
51915,boredom
51915,surprise
51915,boredom
51915,sadness
5603,anger
5603,sadness
5603,sadness
5603,guilt
5603,sadness
5603,anger
5603,sadness
5603,sadness
5603,fear
5603,anger
41225,guilt
41225,guilt
41225,relief
41225,guilt
41225,relief
41225,relief
41225,guilt
41225,guilt
41225,guilt
41225,guilt
86,guilt
86,guilt
86,sadness
86,sadness
86,sadness
86,guilt
86,sadness
86,sadness
86,sadness
86,sadness
90,guilt
90,guilt
90,anger
90,anger
90,anger
90,anger
90,anger
90,anger
90,anger
90,anger
52584,guilt
52584,guilt
52584,sadness
52584,fear
52584,guilt
52584,fear
52584,boredom
52584,guilt
52584,fear
52584,fear
2129,joy
2129,joy
2129,joy
2129,joy
2129,joy
2129,joy
2129,joy
2129,joy
2129,joy
2129,joy
6954,shame
6954,shame
6954,shame
6954,guilt
6954,disgust
6954,disgust
6954,shame
6954,disgust
6954,shame
6954,shame
7143,sadness
7143,guilt
7143,sadness
7143,sadness
7143,relief
7143,sadness
7143,shame
7143,sadness
7143,sadness
7143,sadness
363,shame
363,sadness
363,sadness
363,sadness
363,guilt
363,sadness
363,guilt
363,shame
363,shame
363,guilt
4649,shame
4649,shame
4649,shame
4649,guilt
4649,shame
4649,guilt
4649,guilt
4649,shame
4649,guilt
4649,guilt
52444,joy
52444,surprise
52444,sadness
52444,surprise
52444,sadness
52444,sadness
52444,joy
52444,joy
52444,sadness
52444,surprise
6192,sadness
6192,sadness
6192,sadness
6192,sadness
6192,sadness
6192,sadness
6192,sadness
6192,sadness
6192,sadness
6192,sadness
3423,value mismatch
3423,value mismatch
3423,value mismatch
3423,value mismatch
3423,value mismatch
3423,value mismatch
3423,value mismatch
3423,value mismatch
3423,value mismatch
3423,value mismatch
3546,joy
3546,joy
3546,joy
3546,joy
3546,joy
3546,joy
3546,joy
3546,joy
3546,joy
3546,joy
3117,sadness
3117,sadness
3117,sadness
3117,sadness
3117,sadness
3117,sadness
3117,sadness
3117,sadness
3117,sadness
3117,sadness
7160,guilt
7160,guilt
7160,guilt
7160,sadness
7160,guilt
7160,guilt
7160,guilt
7160,guilt
7160,guilt
7160,guilt
3864,joy
3864,joy
3864,surprise
3864,surprise
3864,joy
3864,surprise
3864,joy
3864,sadness
3864,joy
3864,joy
454,sadness
454,guilt
454,sadness
454,guilt
454,guilt
454,sadness
454,sadness
454,sadness
454,sadness
454,guilt
52289,sadness
52289,sadness
52289,sadness
52289,sadness
52289,sadness
52289,sadness
52289,sadness
52289,sadness
52289,sadness
52289,sadness
5247,boredom
5247,boredom
5247,boredom
5247,boredom
5247,boredom
5247,sadness
5247,boredom
5247,boredom
5247,boredom
5247,boredom
99,sadness
99,sadness
99,shame
99,sadness
99,guilt
99,sadness
99,shame
99,guilt
99,shame
99,sadness
822,sadness
822,sadness
822,sadness
822,sadness
822,sadness
822,sadness
822,sadness
822,sadness
822,sadness
822,sadness
51775,joy
51775,pride
51775,sadness
51775,joy
51775,joy
51775,joy
51775,pride
51775,joy
51775,joy
51775,joy
51240,sadness
51240,fear
51240,sadness
51240,sadness
51240,sadness
51240,sadness
51240,surprise
51240,fear
51240,sadness
51240,surprise
4636,fear
4636,fear
4636,fear
4636,fear
4636,fear
4636,fear
4636,fear
4636,fear
4636,fear
4636,fear
3975,guilt
3975,relief
3975,guilt
3975,relief
3975,surprise
3975,boredom
3975,surprise
3975,joy
3975,shame
3975,sadness
51624,pride
51624,pride
51624,pride
51624,joy
51624,pride
51624,pride
51624,pride
51624,pride
51624,pride
51624,pride
689,anger
689,shame
689,shame
689,disgust
689,shame
689,disgust
689,anger
689,anger
689,disgust
689,sadness
4583,fear
4583,fear
4583,sadness
4583,anger
4583,sadness
4583,anger
4583,guilt
4583,guilt
4583,guilt
4583,fear
4337,disgust
4337,surprise
4337,fear
4337,disgust
4337,disgust
4337,disgust
4337,fear
4337,disgust
4337,disgust
4337,sadness
4609,fear
4609,fear
4609,fear
4609,fear
4609,fear
4609,fear
4609,fear
4609,fear
4609,fear
4609,fear
4594,sadness
4594,sadness
4594,sadness
4594,fear
4594,sadness
4594,shame
4594,guilt
4594,fear
4594,sadness
4594,shame
6162,boredom
6162,fear
6162,boredom
6162,boredom
6162,boredom
6162,sadness
6162,boredom
6162,guilt
6162,boredom
6162,boredom
5556,sadness
5556,anger
5556,anger
5556,disgust
5556,anger
5556,anger
5556,sadness
5556,disgust
5556,disgust
5556,anger
5298,sadness
