Index,round_number,text_id,prolific_id,emotion,confidence,participant_age,participant_gender,participant_education,participant_ethnicity,participant_current_emotion,suddenness,familiarity,predict_event,pleasantness,unpleasantness,goal_relevance,chance_responsblt,self_responsblt,other_responsblt,predict_conseq,goal_support,urgency,self_control,other_control,chance_control,accept_conseq,standards,social_norms,attention,not_consider,effort,extravert,critical,dependable,anxious,open,quiet,sympathetic,disorganized,calm,conventional,feedback
0,0,6808,5cd9712d725bb3000128f2bd,Sadness,5,28,Woman,Undegraduate degree (BA/BSc/other),Middle Eastern,Boredom,4,3,4,1,5,4,1,1,4,4,1,3,2,4,3,4,2,1,4,3,4,7,1,6,1,6,1,6,1,6,1,
1,0,7160,5cd9712d725bb3000128f2bd,Sadness,5,28,Woman,Undegraduate degree (BA/BSc/other),Middle Eastern,Boredom,4,4,3,1,5,4,1,3,2,2,1,2,2,2,3,2,2,1,4,3,4,7,1,6,1,6,1,6,1,6,1,
2,0,51023,5cd9712d725bb3000128f2bd,Shame,5,28,Woman,Undegraduate degree (BA/BSc/other),Middle Eastern,Boredom,1,5,4,1,5,3,1,5,1,2,1,4,4,4,2,3,4,4,3,2,4,7,1,6,1,6,1,6,1,6,1,
3,0,31154,5cd9712d725bb3000128f2bd,Shame,5,28,Woman,Undegraduate degree (BA/BSc/other),Middle Eastern,Boredom,2,4,4,1,5,3,1,5,5,3,1,5,2,4,2,2,4,4,2,3,4,7,1,6,1,6,1,6,1,6,1,
4,0,51694,5cd9712d725bb3000128f2bd,Pride,5,28,Woman,Undegraduate degree (BA/BSc/other),Middle Eastern,Boredom,4,3,3,5,1,4,1,5,2,3,4,4,4,3,3,4,1,1,5,4,5,7,1,6,1,6,1,6,1,6,1,
5,0,5577,5cc5e72ce3c44e0015fdf990,Guilt,2,31,Gender Variant / Non-Conforming / Non-binary,Undegraduate degree (BA/BSc/other),North American,Boredom,3,2,2,1,5,3,2,3,4,2,3,4,1,5,3,3,2,4,4,4,3,1,2,6,3,6,7,2,1,6,1,
6,0,51241,5cc5e72ce3c44e0015fdf990,Joy,4,31,Gender Variant / Non-Conforming / Non-binary,Undegraduate degree (BA/BSc/other),North American,Boredom,5,1,5,5,1,2,1,3,4,5,5,2,2,1,2,1,1,1,4,1,1,1,2,6,3,6,7,2,1,6,1,
7,0,51595,5cc5e72ce3c44e0015fdf990,Sadness,4,31,Gender Variant / Non-Conforming / Non-binary,Undegraduate degree (BA/BSc/other),North American,Boredom,2,4,3,2,4,1,4,5,2,2,1,3,2,5,2,3,2,1,4,3,4,1,2,6,3,6,7,2,1,6,1,
8,0,21,5cc5e72ce3c44e0015fdf990,Surprise,5,31,Gender Variant / Non-Conforming / Non-binary,Undegraduate degree (BA/BSc/other),North American,Boredom,1,5,2,2,4,1,1,1,5,1,3,4,1,5,4,3,1,2,4,2,4,1,2,6,3,6,7,2,1,6,1,
9,0,74,5cc5e72ce3c44e0015fdf990,Anger,3,31,Gender Variant / Non-Conforming / Non-binary,Undegraduate degree (BA/BSc/other),North American,Boredom,3,2,2,1,5,2,4,1,3,2,1,3,1,5,5,4,1,1,4,5,2,1,2,6,3,6,7,2,1,6,1,
10,0,6423,67457c3dad6ff0234d42fdef,Guilt,4,34,Man,Undegraduate degree (BA/BSc/other),European,Anger,4,2,3,2,3,4,2,4,4,3,3,1,3,4,3,4,5,3,2,5,2,3,4,5,6,6,6,5,3,4,2,Please increase compensation. The study was so long
11,0,5691,67457c3dad6ff0234d42fdef,Anger,2,34,Man,Undegraduate degree (BA/BSc/other),European,Anger,1,4,2,1,5,4,3,2,5,2,1,2,2,4,2,3,3,4,2,5,4,3,4,5,6,6,6,5,3,4,2,Please increase compensation. The study was so long
12,0,41251,67457c3dad6ff0234d42fdef,Relief,3,34,Man,Undegraduate degree (BA/BSc/other),European,Anger,1,1,1,3,3,5,3,4,2,4,5,1,4,3,4,4,1,1,3,1,3,3,4,5,6,6,6,5,3,4,2,Please increase compensation. The study was so long
13,0,41225,67457c3dad6ff0234d42fdef,Relief,1,34,Man,Undegraduate degree (BA/BSc/other),European,Anger,2,5,3,1,5,4,4,2,5,4,1,4,3,4,3,3,2,2,4,4,4,3,4,5,6,6,6,5,3,4,2,Please increase compensation. The study was so long
14,0,5951,67457c3dad6ff0234d42fdef,Shame,2,34,Man,Undegraduate degree (BA/BSc/other),European,Anger,4,1,3,1,4,1,4,2,2,3,4,4,2,2,5,5,4,2,1,5,4,3,4,5,6,6,6,5,3,4,2,Please increase compensation. The study was so long
15,0,47,67458f0410fe12027fa4854d,Shame,4,48,Woman,Graduate degree (MA/MSc/MPhil/other),East Asian,Joy,3,4,3,2,3,3,3,3,2,2,3,3,2,3,2,2,2,3,3,2,2,3,2,5,1,4,4,4,1,5,4,No comments.
16,0,41260,67458f0410fe12027fa4854d,Joy,5,48,Woman,Graduate degree (MA/MSc/MPhil/other),East Asian,Joy,3,3,3,3,1,3,3,3,2,4,2,3,2,3,3,3,3,3,2,3,2,3,2,5,1,4,4,4,1,5,4,No comments.
17,0,52015,67458f0410fe12027fa4854d,Relief,5,48,Woman,Graduate degree (MA/MSc/MPhil/other),East Asian,Joy,3,3,2,2,3,3,2,2,3,3,2,2,3,3,2,3,2,3,3,3,3,3,2,5,1,4,4,4,1,5,4,No comments.
18,0,6337,67458f0410fe12027fa4854d,Guilt,3,48,Woman,Graduate degree (MA/MSc/MPhil/other),East Asian,Joy,2,2,2,3,2,2,3,3,3,3,2,2,3,2,3,3,3,2,3,3,3,3,2,5,1,4,4,4,1,5,4,No comments.
19,0,51023,67458f0410fe12027fa4854d,Sadness,4,48,Woman,Graduate degree (MA/MSc/MPhil/other),East Asian,Joy,2,3,2,3,2,3,3,2,3,2,2,3,2,3,2,3,2,3,2,2,3,3,2,5,1,4,4,4,1,5,4,No comments.
20,0,689,67b5c6b2492bf437a12ecb4b,Shame,4,31,Man,High School,North American,Fear,3,3,4,2,5,4,4,1,1,3,2,4,5,4,5,3,4,3,5,4,4,3,4,6,6,7,7,6,1,4,1,Great little study :)
21,0,3514,67b5c6b2492bf437a12ecb4b,Guilt,5,31,Man,High School,North American,Fear,5,4,3,3,3,5,5,5,5,5,1,5,2,2,1,1,5,5,5,5,1,3,4,6,6,7,7,6,1,4,1,Great little study :)
22,0,4842,67b5c6b2492bf437a12ecb4b,Joy,5,31,Man,High School,North American,Fear,4,1,2,5,1,4,4,3,3,4,5,1,4,5,3,3,3,1,4,2,5,3,4,6,6,7,7,6,1,4,1,Great little study :)
23,0,41857,67b5c6b2492bf437a12ecb4b,Trust,5,31,Man,High School,North American,Fear,4,3,3,4,1,3,4,5,5,3,5,3,5,5,3,5,5,4,3,3,5,3,4,6,6,7,7,6,1,4,1,Great little study :)
